title,company,city,date,url,department,workplace_type,description,requirements
AI Engineer- R&D and Innovation Center,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Data & AI,onsite,,
AI Security Architect,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cyber,onsite,,
AI Security Engineer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cyber,onsite,,
Backend Developer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cloud,onsite,,
Backend Developer manager,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cloud,onsite,,
Big Data Engineer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Data & AI,onsite,,
C++ Backend Developer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cloud,onsite,,
Cloud & DevOps Team lead,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cloud,onsite,,
Cloud Security Architect,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cyber,onsite,,
Data Science Lead-  R&D and Innovation Center,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Data & AI,onsite,,
Devops Engineer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cloud,onsite,,
Frontend Developer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cloud,onsite,,
Full Stack Developer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Salesforce,onsite,,
Full Stack Engineer- R&D and Innovation Center,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Data & AI,onsite,,
GenAI Engineer-  R&D and Innovation Center,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Data & AI,onsite,,
Hands-On Data & AI Architect,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Data & AI,onsite,,
Observability Professional,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Human Capital,onsite,,
Observability Specialist,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Human Capital,onsite,,
Offensive Security Team Leader,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cyber,onsite,,
Oracle Implementer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Oracle,onsite,,
QA Automation,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cloud,onsite,,
SAC consultant,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,SAP,onsite,,
Salesforce Implementer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Salesforce,onsite,,
Salesforce Solution Architect,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Salesforce,onsite,,
SecOps Engineer,Deloitte Israel,Tel Aviv,2026-04-30,https://careers.deloitte.co.il/positions/,Cyber,onsite,,
